shift_id,day_of_week,start_time,end_time
29e26e8a,Sunday,08:54:27,17:53:20
b039fad0,Thursday,09:12:26,18:37:28
ebe813d7,Wednesday,14:46:09,11:53:09
0a86d703,Friday,12:31:59,20:09:59
a20b840a,Sunday,12:27:13,03:51:10
73f73590,Monday,18:51:11,17:51:05
0c1eb597,Tuesday,08:22:20,16:54:33
a69f0612,Saturday,20:22:22,20:43:24
083b890a,Saturday,16:27:22,23:08:16
e421d72d,Monday,05:23:12,07:48:13
52ab2cb5,Friday,23:49:18,15:23:06
07254a29,Wednesday,12:34:19,03:00:44
02db0304,Sunday,12:34:09,07:14:16
472e19ae,Monday,09:05:00,16:13:15
9c16ea30,Saturday,16:01:22,10:14:00
bb50a7b8,Saturday,21:48:40,19:07:34
af80235a,Sunday,21:10:48,16:08:43
148f4daf,Thursday,05:03:49,03:12:53
fb51f8b7,Saturday,01:03:04,15:45:13
612c953e,Friday,10:36:15,19:27:08
2a536ead,Tuesday,09:29:19,05:31:40
01ececc0,Saturday,19:57:18,20:08:34
6c34cebd,Saturday,05:20:09,06:29:16
e13d8a2d,Friday,09:28:18,12:15:58
7a06df30,Sunday,16:47:39,22:39:17
9f8d6ac6,Saturday,00:55:03,17:54:08
5fe89eb3,Sunday,14:15:05,08:15:04
683b05db,Sunday,13:10:25,08:10:04
0f92c63f,Monday,17:05:03,23:13:28
9819f6bd,Monday,13:08:49,16:05:09
fb5c554a,Tuesday,22:19:15,16:45:34
07f78e6d,Monday,14:12:56,14:17:30
e07724b4,Thursday,15:28:33,04:45:19
ef0f3e96,Saturday,00:25:24,04:00:10
3a3d001d,Sunday,19:12:34,09:07:57
bdaa74dc,Saturday,21:59:09,03:20:28
a94d333f,Tuesday,21:40:52,12:25:45
8844dc8d,Sunday,16:37:06,12:50:08
58e80a8a,Thursday,22:21:34,15:59:53
45f91d91,Friday,12:25:58,13:50:35
8bc4a120,Tuesday,21:24:21,19:33:31
d060d038,Thursday,10:27:59,13:03:36
24fecddb,Thursday,23:40:51,23:20:55
00772a1f,Monday,14:56:01,21:23:36
d276fe43,Saturday,07:15:11,01:43:21
d7633578,Friday,04:45:02,12:14:45
37c1da61,Tuesday,07:49:51,14:43:57
67360e76,Tuesday,05:21:44,12:57:26
ecb2ad33,Wednesday,17:03:41,05:06:15
d0e54b4e,Wednesday,09:09:57,05:58:58
33360779,Wednesday,02:22:21,20:15:24
6b7badf8,Tuesday,17:20:46,01:15:32
6b10e52e,Saturday,16:20:18,21:04:30
b15b5158,Wednesday,19:31:00,01:46:20
c1fd3843,Thursday,23:20:25,06:59:49
8f5cd69e,Monday,15:16:07,22:09:38
4978468d,Saturday,04:55:58,07:58:17
392d6820,Wednesday,08:29:24,12:21:26
9ff4c353,Sunday,07:22:41,15:39:28
d6c1a972,Wednesday,16:01:20,22:38:31
61561519,Monday,01:04:40,07:47:03
7008940a,Sunday,08:08:35,12:05:04
19fb8e97,Saturday,07:42:22,06:08:51
4a9d6267,Tuesday,20:31:52,05:25:39
1d595032,Thursday,19:21:23,02:01:12
5966686b,Saturday,09:28:52,06:07:43
930babf0,Wednesday,05:25:21,21:32:24
8fec2aa3,Sunday,13:42:09,20:47:10
8c9d9776,Saturday,16:10:55,04:08:30
ab165752,Saturday,14:20:49,18:00:18
63ef4737,Sunday,10:13:36,11:22:44
674aadec,Friday,02:13:58,22:45:53
27aabcb0,Saturday,21:37:01,21:44:57
97d24246,Thursday,13:25:37,15:49:46
452283ec,Wednesday,23:22:53,16:30:47
38682668,Sunday,15:14:28,01:33:39
8e5c4507,Saturday,10:31:11,21:24:39
9e91371e,Friday,19:35:33,02:51:04
bd227f3c,Sunday,03:30:21,14:57:28
733b56b5,Wednesday,21:54:41,09:33:55
3934392b,Friday,13:14:02,15:03:38
e8eb16e5,Saturday,13:08:03,21:31:55
4bd8089a,Friday,03:01:16,21:21:56
b56f152f,Tuesday,14:14:29,23:03:31
e624669d,Monday,09:15:56,12:28:08
9fe52d06,Sunday,14:28:56,11:02:13
0f6aaee3,Monday,04:02:07,04:02:19
77c393ec,Saturday,21:34:05,11:08:35
a488b4ea,Tuesday,04:17:42,14:41:34
e709fabf,Thursday,21:32:54,16:49:27
b9f81b58,Saturday,17:18:42,01:18:07
d906fffb,Thursday,04:37:48,21:16:48
33923376,Thursday,01:09:16,13:28:49
e9ae8413,Tuesday,09:05:35,05:01:55
9ab1a904,Monday,00:55:46,12:17:27
8b9366a2,Friday,11:05:16,08:17:39
f53af8d6,Tuesday,08:55:28,02:51:13
90877268,Sunday,18:02:18,12:09:25
8033b732,Wednesday,15:23:55,01:36:02
6cf6989d,Sunday,06:37:27,16:30:03
831d18da,Sunday,12:10:02,18:57:34
eaf40bf9,Monday,07:58:36,07:23:36
bad58d54,Tuesday,17:46:06,21:05:18
f69e32b5,Saturday,14:33:35,17:06:16
a7295403,Saturday,08:43:17,08:33:32
dca11d47,Sunday,10:35:19,11:55:29
bea6b189,Monday,18:56:33,08:30:21
78e489b1,Thursday,14:33:37,03:43:09
7c1b75fd,Sunday,14:54:10,21:15:11
5f973a0b,Tuesday,00:26:24,23:16:49
63159033,Sunday,06:08:24,23:28:53
3cef7ea9,Saturday,05:24:31,10:45:57
5b4beb7b,Sunday,23:47:38,08:09:56
2595abde,Thursday,22:53:01,05:07:49
df15cf21,Thursday,01:08:24,03:17:28
dbd5c0e4,Wednesday,16:44:52,19:07:29
11521493,Tuesday,00:47:36,07:39:26
59aae230,Saturday,23:37:47,10:45:32
63ac8b8f,Tuesday,07:35:30,11:56:10
05f15404,Friday,06:38:11,00:24:28
46a4397c,Tuesday,14:58:40,07:38:10
39db75d0,Saturday,23:48:05,01:45:33
fbfcd964,Saturday,20:08:58,04:36:47
48a8c97c,Friday,03:51:06,04:18:06
d7d05b19,Friday,20:52:21,05:40:17
91286f54,Saturday,11:33:57,23:54:11
aaba0a06,Sunday,15:46:50,13:54:14
d1900742,Monday,08:27:52,18:15:40
b922ac11,Friday,03:25:45,15:26:56
74d526c6,Tuesday,05:23:09,00:47:27
22de2da7,Friday,11:19:15,08:50:56
180033b9,Sunday,08:03:46,12:49:49
d4e90bb7,Tuesday,03:02:23,19:53:20
a11057dd,Saturday,19:26:51,12:18:20
c6434cd6,Saturday,00:29:01,12:42:20
1abe85db,Saturday,01:29:28,00:12:20
9dcd3edf,Monday,15:46:11,22:23:19
5adf728c,Saturday,12:35:46,18:00:06
9c6a7eb9,Monday,04:22:19,23:38:23
3075082d,Wednesday,02:09:27,20:48:50
0aaaebf2,Tuesday,15:12:05,21:17:32
c3456934,Thursday,14:03:34,00:38:15
ab6d6e9b,Sunday,07:20:15,11:32:06
e6505b50,Wednesday,02:15:37,08:13:53
4b3330df,Friday,15:13:03,00:20:10
fcfc6635,Sunday,20:10:56,01:26:19
c7f251b0,Monday,23:35:37,18:17:35
b22abcf7,Wednesday,23:28:03,22:38:08
241267de,Thursday,13:19:42,18:37:15
b1937c80,Friday,06:26:15,12:55:09
df7df53e,Thursday,20:03:14,16:28:43
72dc0694,Tuesday,07:14:58,15:53:12
bdc0a1ef,Sunday,14:14:56,00:42:09
55ec8923,Friday,14:21:12,21:50:58
b45131c7,Tuesday,01:25:02,06:34:46
3267873a,Monday,06:45:19,15:48:24
68992de9,Wednesday,20:08:58,23:39:29
b4e15cdd,Thursday,16:47:01,11:20:52
47cd567c,Tuesday,09:08:54,07:43:15
7ae52dde,Tuesday,14:27:22,12:45:05
7039b33a,Wednesday,23:18:53,03:15:14
ae8939f9,Wednesday,00:06:31,04:33:01
0af7cab0,Sunday,19:49:54,02:19:00
c11587a7,Monday,21:12:17,21:00:52
d30aa21d,Wednesday,02:35:01,02:04:55
e282edb7,Sunday,11:51:30,06:16:37
75c7962e,Friday,17:57:08,15:13:32
3ced125d,Wednesday,08:41:20,19:48:23
69fd8fdd,Wednesday,02:58:09,10:03:02
b672092b,Friday,11:25:19,00:15:35
02d76137,Thursday,16:38:03,02:18:18
6dc5f37c,Saturday,20:32:49,21:58:31
f43a3c21,Wednesday,23:49:41,08:04:36
29456196,Wednesday,20:43:21,08:26:59
ba4d77fa,Saturday,04:45:07,04:35:49
4350e2b3,Monday,23:15:39,01:41:34
47ccbd70,Saturday,14:00:50,21:46:14
fe4aaefa,Monday,07:27:19,15:07:39
882005a9,Thursday,22:26:54,21:48:49
81330ef4,Monday,08:30:54,02:15:18
88564044,Friday,18:08:52,21:51:54
203ffc57,Monday,22:06:19,11:22:52
1787196c,Friday,16:12:36,19:24:41
25b9a38a,Thursday,22:33:53,12:06:25
a5815971,Tuesday,20:23:02,01:15:58
924bc225,Friday,03:11:30,10:48:08
80c698e0,Friday,09:16:47,05:26:03
eb9ba711,Tuesday,17:12:35,07:35:47
0d3f27b1,Friday,22:44:58,10:22:53
2695abbe,Saturday,20:53:48,07:24:06
4814c6f4,Saturday,22:27:49,17:23:18
a8e68a54,Wednesday,23:07:45,16:23:24
7f3d4a40,Sunday,22:15:07,03:10:15
c59783c7,Tuesday,21:07:49,01:30:35
19fad2cd,Saturday,21:41:17,07:31:18
f93a903a,Saturday,03:00:56,17:37:53
81b0447c,Thursday,04:09:58,20:48:48
b999c4a1,Wednesday,13:15:00,00:20:14
43ef3f26,Tuesday,17:44:22,12:52:00
735aea9e,Wednesday,12:42:40,18:52:18
1924131b,Saturday,03:31:14,09:31:14
9dcc00db,Saturday,09:41:50,22:15:48
a7d25bf5,Wednesday,04:18:54,02:23:33
5ced507c,Tuesday,01:24:16,02:41:26
fa1d61a6,Tuesday,00:11:04,04:53:44
5ae7984c,Friday,04:52:01,21:26:59
98351667,Sunday,21:01:42,13:24:22
b50eacbd,Saturday,00:49:35,15:49:50
e03d144f,Sunday,05:15:34,21:52:40
c4aead0c,Tuesday,10:32:04,05:51:17
a65d9974,Friday,20:18:35,15:04:56
9cadbb48,Wednesday,05:37:22,07:43:37
111112f3,Tuesday,17:49:13,13:39:14
23cf4675,Tuesday,02:31:55,02:47:47
92a6dfa4,Sunday,15:14:49,13:27:21
b3459874,Wednesday,16:25:44,06:48:01
38173049,Friday,08:33:53,12:50:56
6a703239,Monday,12:33:18,16:02:17
a7a5516c,Wednesday,12:34:13,21:27:26
92265ab9,Monday,01:40:39,11:40:19
8f8ef89f,Sunday,05:10:05,09:19:03
8bf82273,Saturday,10:47:17,18:01:57
6cad557f,Wednesday,12:16:43,07:17:34
fa862407,Wednesday,11:29:05,18:08:06
9af0b8af,Saturday,14:36:35,02:27:53
f0722a16,Sunday,15:34:00,09:48:46
f623d5a5,Monday,22:51:18,06:30:59
032895fb,Tuesday,00:40:19,00:28:39
244f2eee,Monday,12:27:36,04:01:15
e24d4364,Tuesday,15:32:48,14:32:47
43e5dc79,Sunday,11:55:51,22:37:01
19fee772,Thursday,16:07:18,23:38:17
4d40793d,Saturday,22:51:18,18:31:01
8a02597e,Sunday,14:06:42,00:30:28
29cde4d8,Saturday,19:45:33,08:51:06
859e8bb0,Monday,04:47:26,00:02:51
81713596,Sunday,05:57:34,23:25:33
d2b6b44e,Friday,05:54:00,01:42:05
de93f169,Sunday,02:00:15,14:44:41
194e3eb6,Monday,17:02:33,02:03:08
32d32682,Saturday,01:25:29,15:03:48
c1e5fb24,Saturday,01:10:04,08:07:22
8a7cb62a,Saturday,18:34:58,23:01:02
67dae1f2,Monday,23:50:23,22:38:37
9933a1c6,Monday,23:49:53,14:46:05
3f1d2fed,Sunday,00:25:13,11:22:47
c71783a0,Friday,04:54:23,00:57:50
9ad39e88,Wednesday,23:03:04,11:58:33
f0915e2a,Thursday,00:38:07,23:53:02
7ec677c6,Friday,06:06:34,08:56:44
b4a43438,Friday,22:47:00,02:42:35
32060a8e,Thursday,13:57:46,00:03:21
debf813e,Thursday,21:43:50,02:28:32
a3278ba3,Monday,02:34:26,20:55:56
3165d6e6,Thursday,10:21:16,00:02:04
be5ad70b,Monday,02:26:49,02:21:59
927f2f5e,Saturday,15:17:45,08:54:05
e4744c0e,Sunday,03:53:34,09:12:19
dc94001a,Saturday,07:16:57,06:17:30
084c72dc,Saturday,01:45:50,08:39:44
ba79ff9d,Friday,06:59:16,19:07:51
4fdab441,Thursday,09:03:42,04:53:33
5e83b6c4,Friday,22:09:31,02:46:00
6716c484,Saturday,01:35:20,22:34:40
1f720883,Tuesday,12:18:25,05:25:11
0304cbf2,Tuesday,21:44:23,23:53:27
65982654,Sunday,05:58:37,10:58:58
814b8d48,Saturday,19:08:45,09:11:23
a3665ca0,Monday,08:33:09,03:54:40
cd1439cd,Thursday,23:58:32,07:00:03
102ae130,Friday,13:53:13,16:34:20
783dafba,Friday,18:57:58,05:10:44
efcf2f7b,Tuesday,00:06:19,19:43:00
165e6103,Monday,17:31:26,00:18:55
9baf0e45,Wednesday,06:34:36,07:32:07
edb63295,Saturday,14:50:44,06:39:17
ff68d69a,Friday,17:29:35,16:02:00
2a9a4476,Thursday,11:50:23,10:43:19
a328893e,Sunday,07:56:35,03:27:09
a8f499ea,Sunday,03:58:15,09:19:31
90ea6fc5,Saturday,08:07:20,16:56:16
74e05c22,Wednesday,09:39:34,19:56:28
11280ad1,Thursday,01:17:12,06:22:08
082ec380,Monday,20:31:22,17:09:54
c68157c5,Sunday,05:55:40,10:59:29
029ecb3f,Saturday,14:18:53,14:51:19
57f92b3c,Wednesday,11:35:02,11:13:31
e76e135c,Tuesday,06:42:23,21:12:01
fe08c25c,Saturday,07:09:57,22:08:22
0eef332f,Tuesday,08:05:46,14:26:33
e9129175,Wednesday,16:12:29,08:59:41
83f11739,Saturday,15:47:33,12:02:40
cb5c1a35,Friday,11:30:56,21:24:04
35fc4916,Wednesday,04:21:10,02:24:54
179a9228,Saturday,02:38:21,16:50:33
7ee3b147,Thursday,01:46:15,04:50:38
1c685ee9,Thursday,08:18:52,16:58:24
82f8e8c0,Monday,09:00:26,19:01:34
892c5555,Saturday,11:04:50,01:27:51
c7878cd5,Sunday,08:58:17,01:21:29
f4903d2e,Sunday,02:45:31,04:00:18
d69d9050,Tuesday,12:21:06,09:57:48
0586515e,Friday,06:07:57,12:26:27
a4658c83,Monday,01:52:57,08:43:39
6b59de0d,Monday,09:57:02,00:37:40
b24ccc7b,Tuesday,07:00:16,03:53:34
0931f697,Saturday,03:29:54,05:20:32
54277fd4,Wednesday,18:10:28,03:24:36
05fe7db5,Friday,02:57:29,14:49:30
0db4cede,Saturday,21:12:45,21:43:37
0b78d15d,Saturday,14:05:34,12:00:09
74599607,Monday,13:51:38,01:11:45
8fddb253,Sunday,17:22:19,15:22:42
23c5f112,Saturday,00:32:00,19:41:45
23772123,Sunday,09:07:28,03:42:08
578cbf25,Wednesday,19:03:56,23:46:45
7a65fa4b,Friday,18:25:37,04:28:32
8bf85a38,Thursday,20:27:51,20:10:27
a7051d86,Sunday,08:05:16,23:16:07
7e6f0f0d,Monday,06:23:55,14:39:56
a3d731ce,Saturday,18:57:59,12:44:32
3530cd6d,Wednesday,11:32:12,23:38:33
4e0c47d7,Monday,23:40:51,15:03:55
1bf9ccaf,Thursday,01:18:56,10:28:40
67a48854,Friday,16:28:30,12:08:58
e843711a,Saturday,16:17:44,20:00:59
0e2aa66d,Sunday,02:35:00,01:54:34
e9020364,Tuesday,20:44:17,02:40:10
6ad2e86d,Friday,04:13:39,21:34:36
369125d8,Thursday,09:29:36,09:23:18
dd2e6582,Tuesday,07:44:12,09:16:29
4280e9ca,Sunday,12:42:33,07:42:44
3ff7a55e,Sunday,08:26:45,01:28:41
397bd6ec,Monday,12:01:55,03:20:30
473ca7c2,Monday,17:37:50,18:17:52
88b6c7a3,Thursday,02:12:34,23:57:02
bd877e62,Wednesday,17:27:06,01:17:10
8505764f,Wednesday,06:42:15,16:13:32
aa0696c5,Wednesday,20:11:48,19:22:40
dad892a6,Friday,18:22:04,21:58:18
925f771e,Tuesday,10:46:34,02:14:55
cee4cb18,Monday,18:28:48,05:34:34
4819b91b,Sunday,03:19:41,05:19:59
4fb51145,Sunday,04:18:01,19:19:26
0fe572c6,Tuesday,17:24:47,21:47:11
9ada2a3d,Sunday,08:57:46,03:24:24
49bf0ed4,Wednesday,03:06:09,05:01:47
8eae1662,Wednesday,08:08:17,15:00:40
e54417fb,Saturday,00:20:53,08:04:07
23574b4f,Monday,19:09:32,13:39:58
83eefbcb,Saturday,04:44:45,06:34:56
acdcdcb6,Sunday,21:47:06,14:51:15
ad9b3c9a,Friday,04:00:06,19:47:05
19e80c8f,Wednesday,02:15:58,18:07:24
2005b841,Sunday,01:24:47,10:24:09
d5689169,Thursday,20:58:39,17:41:16
7529e39b,Sunday,21:03:33,22:42:24
5da49139,Saturday,09:08:02,10:47:48
9bbb38ae,Tuesday,09:05:13,05:47:29
f8471b82,Sunday,21:50:42,10:15:09
2594b760,Wednesday,07:27:30,08:58:39
833d9cb3,Thursday,12:23:55,17:39:54
9ed54b86,Friday,15:29:12,08:27:17
248ef5fc,Monday,00:08:15,19:39:08
30443823,Friday,11:26:36,11:17:08
82b533c5,Sunday,09:58:57,10:03:30
7161db2f,Friday,18:25:03,06:38:53
5b595c54,Tuesday,11:44:32,21:25:04
da76d32d,Thursday,12:15:23,02:16:32
01b03737,Monday,22:31:44,11:03:40
8bfbe9c0,Saturday,17:12:53,06:18:10
239d9ef7,Saturday,11:11:33,18:43:25
9cd0bb0c,Saturday,05:32:28,09:37:21
bf1a87af,Monday,13:44:48,04:34:02
f36c2b6e,Thursday,02:43:46,14:24:47
f82cde1d,Tuesday,09:55:43,20:10:41
ba25bf5d,Tuesday,23:27:02,14:11:41
a6ef8cf6,Wednesday,21:23:07,09:07:53
6dd8cf1a,Sunday,08:43:12,05:59:20
e0874d31,Wednesday,21:13:54,19:27:34
382717e3,Sunday,02:06:15,03:37:12
df116411,Wednesday,11:37:09,06:03:01
2d567dce,Sunday,01:38:39,16:55:03
78e11b96,Saturday,01:04:11,11:15:38
22cc8c49,Sunday,19:41:01,00:39:26
8e4ca1d5,Friday,00:20:50,17:55:08
be5114d4,Wednesday,11:21:51,17:33:17
105401df,Wednesday,19:45:35,23:33:32
6bd4c65e,Tuesday,09:20:59,23:13:06
7b44cfe3,Sunday,10:00:53,07:33:12
f5920000,Wednesday,07:56:06,23:16:08
a7ed5ba4,Thursday,14:57:41,11:34:34
0dbc58a2,Tuesday,18:54:44,01:39:16
fb7068aa,Thursday,15:58:20,13:50:43
36f5fbe6,Saturday,16:27:57,22:35:30
2b238093,Friday,19:38:09,03:04:34
64a0a448,Tuesday,07:55:39,15:34:59
5679d159,Monday,15:12:48,01:17:13
885934e9,Saturday,17:14:43,09:37:45
40052f62,Saturday,21:48:07,19:26:42
ee0988cb,Tuesday,18:54:21,04:44:50
c9deccb6,Saturday,19:36:35,14:25:37
7a38b21a,Saturday,19:47:00,16:05:51
66f152bf,Tuesday,08:33:06,02:02:54
9234ef53,Saturday,11:22:36,18:46:56
f9f77d6a,Wednesday,17:25:11,21:09:27
6eac57e3,Saturday,22:01:14,14:37:50
25f1ae2c,Sunday,20:29:53,00:46:47
feb3114e,Monday,14:34:38,04:54:03
c6795007,Tuesday,06:39:46,02:04:48
d2d5740d,Friday,22:31:31,09:36:22
94b8c2ad,Thursday,06:14:35,18:20:23
d9274d2b,Monday,16:17:05,13:50:01
599acc74,Friday,22:59:41,17:52:07
be527e06,Thursday,12:06:27,14:47:08
4b4227af,Tuesday,05:13:57,18:58:04
6297840f,Tuesday,14:08:48,21:20:45
b1f4cc4b,Wednesday,22:56:04,17:47:14
cc6781f2,Friday,21:33:48,01:29:21
f15bf357,Wednesday,20:12:12,19:59:21
0bdf4b84,Sunday,22:33:18,21:52:09
63f5a2ac,Thursday,09:50:20,03:29:15
c8411fe7,Friday,22:44:01,01:52:07
218bbc6e,Monday,04:54:37,06:56:34
6fc4958c,Saturday,22:09:59,20:55:36
a126411e,Monday,18:22:32,03:57:48
a545e5de,Sunday,12:20:56,23:51:26
fcc916ae,Monday,19:29:08,18:08:29
308eb88b,Tuesday,07:05:05,08:27:41
6ca337a1,Saturday,08:07:33,13:45:47
c402ca5e,Friday,06:56:39,12:39:37
3fb61c25,Thursday,22:24:09,03:15:42
db8466ee,Monday,18:24:04,07:18:26
ee78976f,Saturday,08:19:03,16:28:34
528830c8,Friday,23:24:47,06:46:49
06f6ceef,Thursday,01:53:16,05:13:01
b68bf6aa,Wednesday,18:56:11,07:40:46
e57dd8f9,Tuesday,15:52:48,22:13:48
0a09dcc5,Thursday,01:16:42,00:15:53
8304a257,Sunday,23:09:16,07:01:01
f4e307b4,Monday,18:58:24,17:29:55
93442a57,Saturday,03:38:25,10:43:48
1237895f,Tuesday,08:57:18,15:01:40
dceee372,Tuesday,14:24:34,05:45:08
f4b6961d,Saturday,04:00:13,04:49:08
80daa8b7,Friday,01:10:56,04:01:29
514421f4,Tuesday,11:40:20,22:19:25
b86e74e1,Thursday,20:18:51,20:43:55
4c7327c7,Friday,18:52:54,02:53:18
db399bd6,Friday,09:45:32,04:49:29
ed8ebafa,Wednesday,15:06:59,17:37:37
35b559e7,Wednesday,02:27:50,21:42:50
053c9fa0,Monday,16:44:16,17:58:23
cf72bf56,Monday,06:48:07,00:58:19
0bdc8b64,Saturday,17:34:00,15:43:38
78559ab3,Saturday,07:22:09,00:27:40
9921c3c0,Monday,09:53:47,10:50:00
c4d8e561,Sunday,04:37:23,19:02:30
5fa5b592,Friday,13:48:56,01:50:07
20395811,Tuesday,13:02:40,21:43:53
7573b4e9,Saturday,11:44:40,00:28:26
52f725a6,Thursday,05:42:54,18:22:48
64571672,Wednesday,12:19:05,08:41:28
d1aaec20,Tuesday,18:01:59,13:43:46
241aea35,Friday,03:31:24,05:11:55
14af8332,Monday,02:23:38,01:34:03
3b00be64,Sunday,03:10:13,10:22:30
22107ec2,Wednesday,18:00:10,19:01:49
d877a6ed,Saturday,03:35:11,20:12:36
7db1aca3,Monday,09:55:45,18:20:36
1ba0bb8a,Sunday,04:34:29,06:15:46
1ecbdcd9,Tuesday,08:43:33,20:55:16
46cf1061,Sunday,13:18:59,09:32:06
14d58e2b,Saturday,18:43:30,07:39:11
cf046bea,Thursday,17:05:14,03:11:39
200d3e96,Friday,07:11:41,16:28:31
adfc58cd,Saturday,12:44:34,13:12:03
e3f0d34e,Saturday,01:12:02,15:35:31
e85c2513,Saturday,02:14:57,19:02:33
95e2786f,Thursday,10:14:57,08:52:16
b65fafa6,Tuesday,11:36:11,18:39:46
1be26453,Thursday,09:05:00,18:01:18
984c08c1,Saturday,07:46:09,01:04:41
e7a5e94d,Wednesday,17:05:48,15:56:43
6c2fb65e,Tuesday,05:15:53,15:04:24
7c76107b,Wednesday,22:28:54,10:21:58
628ee457,Thursday,12:06:37,07:17:55
f9f05408,Saturday,05:33:10,13:28:19
ed5231a1,Sunday,04:07:06,12:10:32
074010b1,Wednesday,19:14:46,20:21:03
34a2f1c4,Wednesday,17:23:37,12:09:03
526eb01b,Sunday,00:25:17,14:28:15
df40ebcc,Tuesday,12:36:00,20:31:43
c5ee7bf3,Wednesday,17:52:19,18:59:58
9d293091,Sunday,05:25:05,10:00:05
937d1857,Sunday,07:37:27,23:25:48
00242811,Wednesday,04:29:57,16:51:41
7a3db38f,Saturday,07:45:32,09:37:10
f7a1fe3c,Friday,13:13:13,00:54:42
12bc1205,Sunday,00:36:10,06:57:07
723960a3,Monday,00:36:40,00:45:54
89f62aef,Wednesday,18:30:24,12:35:34
bfb31e64,Tuesday,12:07:12,05:09:57
e686703c,Thursday,23:04:27,22:36:35
ee2e263a,Sunday,09:23:38,23:30:39
2eda08ae,Sunday,03:52:01,07:02:44
731c1070,Wednesday,20:00:32,16:48:01
d0ee4057,Monday,02:25:31,23:55:07
20afbd90,Tuesday,22:25:30,10:38:11
8a4d7ae9,Tuesday,03:23:52,10:50:07
dee528c4,Monday,01:19:59,20:39:00
906d72e7,Thursday,18:16:10,07:53:36
