row_id,recipe_id,ing_id,quantity
112,e23dcb7d,44,464
113,0f9a30bb,950,397
114,22e224b8,543,483
115,8852c710,997,395
116,cbb32421,132,458
117,3594bb87,384,223
118,8adbb868,641,322
119,ea9852d8,832,245
120,1277d4aa,224,251
121,e108977e,11,370
122,86da6791,691,342
123,30bfa5a5,947,79
124,8fd71aa6,346,174
125,b0d17e5c,982,210
126,45d5bd18,970,416
127,9fb8d1f8,481,497
128,72b75042,484,168
129,97a69a6a,744,485
130,8c5a73c4,864,310
131,e7b96fbc,820,328
132,6e15ce17,896,443
133,84247093,428,103
134,45b04cad,836,366
135,11cf1c5e,412,405
136,68ee9e82,678,128
137,17ca6af5,585,249
138,1a6ed582,542,66
139,3ea58a60,319,159
140,b7b8996a,721,286
141,fc7c6f83,626,56
142,7cecdb82,363,495
143,85891f13,356,286
144,00bcb5c6,257,99
145,2cb873da,58,440
146,470c8d7b,836,175
147,fd49cdd0,559,488
148,9d358efd,948,275
149,81d0f2b5,49,274
150,dbfcb629,881,299
151,fe847d00,481,283
152,d9b0d078,769,142
153,d30adf5e,994,146
154,532da16b,694,155
155,6338acfc,34,69
156,61ad8c37,300,192
157,54d57d97,623,210
158,4f2a0b25,987,497
159,995d27f7,820,98
160,bc31c1d8,139,102
161,6a159513,651,423
162,eb5b89e5,567,368
163,3dcabc8d,49,303
164,5388d5a1,241,482
165,5c21ae14,150,232
166,4788a2d6,649,454
167,83cdbf61,538,246
168,a4860c33,164,53
169,85ec7208,164,162
170,52d47c70,679,362
171,57bc7a93,811,351
172,50155cda,454,74
173,971bf4e0,368,335
174,6a8376f7,159,408
175,018da5ba,214,301
176,17b80a59,801,324
177,81c7ddc4,640,470
178,6d490a7a,140,121
179,cbe2496f,339,186
180,1395b58f,544,295
181,c5835b1f,673,280
182,e99b43ab,318,204
183,82f93837,507,424
184,031aed18,411,140
185,3a773ebd,292,462
186,37d8c3bb,208,299
187,8e9a33c0,495,347
188,c3573bec,806,104
189,cdf949d7,995,339
190,8806dc2c,893,237
191,24c1910e,914,473
192,9312589c,83,98
193,24d1333a,11,305
194,30b111da,409,289
195,893f0bad,487,85
196,b155b5fb,466,164
197,a8729d89,73,446
198,b8a11686,102,423
199,7cfb4919,796,385
200,3f2bb6e5,46,146
201,4ef33908,505,177
202,7fb9cb67,247,188
203,7101e7ec,123,154
204,d065024a,233,103
205,de5e96ef,746,183
206,a15ebf00,322,247
207,c94fe13a,475,215
208,20bda7ae,179,68
209,b92c807e,682,452
210,59c8e08f,69,433
211,9ca4569c,838,84
212,d1977174,696,478
213,c3c9121e,62,147
214,892acb1f,271,354
215,161279c3,161,128
216,da651961,773,482
217,9b13ed94,487,52
218,9a81e0dc,280,413
219,1dc75506,630,364
220,afd98057,711,414
221,65f14e6b,402,214
222,355f4d04,125,87
223,002a0735,548,233
224,da263836,885,290
225,a5c3dd35,191,238
226,6fa10d61,953,409
227,16577efe,959,418
228,078be0ba,289,310
229,e4e5a26f,3,283
230,323700de,420,388
231,76df18b6,113,140
232,4aa9646b,77,325
233,de501b37,13,271
234,bc716354,422,315
235,8e25d85c,390,249
236,04219453,572,246
237,4a243fb5,810,417
238,375e7a1f,828,232
239,f29b9616,223,288
240,b5e97788,345,151
241,41752cb3,192,322
242,ebd8141e,323,246
243,ea4cb0c3,996,127
244,d13b29d1,565,479
245,ada2ebf5,196,125
246,77bd0d05,33,500
247,bcd08d64,869,228
248,17fe7471,541,252
249,4f1ec5fc,522,149
250,f6362bde,628,426
251,9788d41e,129,458
252,6531892c,362,225
253,a665e9d5,523,297
254,e4020386,257,323
255,c5be4af6,752,430
256,07873bec,958,400
257,a3ababea,545,459
258,9b773642,57,277
259,8dd3b6c0,389,95
260,4e811f72,765,411
261,654af59b,885,294
262,8a269cc4,319,338
263,0ea563c0,582,387
264,20a21fee,780,68
265,c1e7fa74,900,235
266,df28b133,298,339
267,4833f62d,548,95
268,7c330ab0,747,293
269,7267fad4,45,339
270,e7f79b36,60,319
271,df0aaeec,621,252
272,b1e9d88c,853,389
273,7adcc867,110,117
274,1df82c72,971,181
275,0957b079,912,294
276,4d3508b7,439,321
277,e93250fe,488,225
278,7a86bd6b,538,126
279,e9a75aab,178,126
280,7ed14cb0,215,210
281,7ad86dce,416,372
282,2c38e429,228,324
283,d5ab200e,509,418
284,e248a8fe,170,148
285,14d0cd5b,896,104
286,4cc2e46b,877,325
287,220a30d3,673,384
288,752692ae,848,476
289,7ba9fce5,462,246
290,aafc72ab,493,357
291,fff63f99,407,428
292,c0e8d505,725,232
293,4b4f0ca2,276,448
294,e594764d,890,289
295,626f4a39,897,69
296,117f1e44,689,438
297,578e10fc,767,93
298,9b362c8c,185,453
299,f2484dd9,703,76
300,c564ebc8,261,99
301,8c961a6e,28,432
302,a20341e1,902,128
303,0656bc6a,146,53
304,6f4138dc,919,83
305,20e416de,858,473
306,8ba1cff4,552,328
307,51e5b97b,261,138
308,60de1d21,601,172
309,c66b7327,833,264
310,2a698234,365,231
311,1a1fd791,647,476
312,ee81c009,331,141
313,66d2ddec,368,236
314,614c2eae,79,114
315,050bf9db,443,93
316,3611acbe,172,192
317,e6db03bd,817,390
318,6db4fd09,566,485
319,ac48d48d,805,140
320,390cb85c,121,259
321,5ba2097e,543,148
322,fb814207,495,442
323,7e94cbb2,521,170
324,2a014205,160,200
325,377d4518,905,321
326,aad29bbf,277,188
327,0b91647c,112,465
328,042d6b73,84,256
329,f1a93110,856,462
330,16d2c9d8,666,443
331,5a98bb07,854,155
332,5fba5bc8,936,69
333,0d22f69c,204,371
334,f761c308,475,293
335,54ceaed8,306,189
336,56afffcc,97,467
337,9e1b94cd,487,374
338,c49fc3d2,654,391
339,228eae89,41,306
340,a9ff53f7,481,116
341,3fc72e2c,926,147
342,4511e91e,705,135
343,4a7d8254,688,304
344,64a11ac2,697,343
345,d6d5399e,840,497
346,7364255a,873,58
347,aa185b83,498,338
348,25dfb5e7,786,244
349,a63e60f4,374,78
350,28dad65a,535,354
351,6e9ed704,90,273
352,eecaba8e,188,448
353,a677965b,270,423
354,3bead344,184,253
355,678b96b8,342,360
356,35200f90,173,306
357,76bdd6cf,518,256
358,9e56d078,972,126
359,6a6f4079,8,292
360,f348b461,934,448
361,1af6131d,104,197
362,4a46f838,636,403
363,d4e8817c,906,472
364,2e7c6d3a,219,117
365,6e95ba93,103,299
366,106172f7,191,476
367,c12306fb,710,371
368,10399b6c,459,362
369,974e9282,843,158
370,15634661,440,386
371,fe12302a,911,105
372,f1154245,56,498
373,c5f69b9a,377,209
374,ade1649c,197,460
375,4b6b68c2,767,465
376,7a434da5,42,110
377,e62b71ff,355,243
378,df885bad,586,243
379,cd4f0302,894,460
380,a2a34060,760,178
381,b40971f8,344,343
382,be54fd31,204,161
383,b360ac82,764,398
384,f8550c97,749,154
385,5a663cba,656,233
386,b701c272,293,269
387,905439da,672,279
388,f013ed63,890,261
389,3a0f4eea,974,330
390,284f790d,702,216
391,d75b76e0,995,88
392,c4bb95a9,88,256
393,38d8e7d8,742,136
394,76b80b3e,880,272
395,b59ff77a,887,480
396,a65c71f6,613,108
397,7d4f966f,353,57
398,15b6cccf,277,402
399,fffac582,625,410
400,8cfde419,406,230
401,496487dd,703,119
402,272d3885,615,141
403,3ddec867,618,211
404,fbd04a8d,63,397
405,c39e8037,436,467
406,ceeaaf51,422,159
407,a806ed9a,350,74
408,fd5b4efe,300,445
409,7e9e2403,699,408
410,63ad32c8,14,395
411,805d0aae,386,343
412,2ffcbb34,156,112
413,8f604f75,631,118
414,c54dd8e2,413,214
415,c275e706,463,99
416,1194b1d1,615,361
417,09bcdc16,587,285
418,79db2f1f,835,451
419,ea8aac6d,651,447
420,375392f0,413,261
421,eb96adbf,974,375
422,a42904d2,478,231
423,c6876d57,159,459
424,20a9af0f,226,343
425,b114a304,131,465
426,e9767fe6,467,113
427,d0bf3e3d,130,79
428,2eae2558,807,310
429,f3a51c10,216,191
430,f4425745,622,149
431,f9ae4a45,603,387
432,7fc40367,774,396
433,3119ae51,52,459
434,142129d0,578,226
435,28c9cfe2,701,225
436,fbb68f1f,403,145
437,b83576c1,50,284
438,80ecb7e9,901,119
439,f7a05471,824,318
440,375467fd,496,160
441,67e372af,116,293
442,a2f74266,87,126
443,f5d4269d,699,218
444,2872ed26,540,206
445,041949da,157,403
446,6affd97f,86,187
447,9ceb7c20,577,428
448,77de763e,189,384
449,a10da691,164,497
450,f7abd462,948,162
451,9020fef6,265,455
452,dff69b57,735,370
453,5beea519,924,290
454,d0458c91,176,472
455,8883c961,522,316
456,c2dd7d41,199,167
457,92be274c,694,430
458,a74289a1,391,466
459,7a00436e,548,493
460,dc0ed482,422,276
461,52fbaafe,988,155
462,843e5477,635,192
463,8a2283b9,183,127
464,472ca041,898,223
465,abf11ae4,235,361
466,3a962043,435,312
467,4b75b2dd,136,80
468,fa32171c,860,472
469,19b6bc8e,410,136
470,5afcc9b7,700,283
471,b39d8a07,964,363
472,5efd1397,747,396
473,da78bb48,223,149
474,68e1f836,500,264
475,d999927f,894,313
476,04626911,203,76
477,ebbccdaf,460,104
478,ccfa0812,363,452
479,1b8b7e02,617,412
480,9273135d,265,353
481,53d90980,582,200
482,964709ec,787,243
483,6bfc37cf,418,101
484,29317a9c,315,428
485,17f8bf45,682,174
486,d3bf9588,473,342
487,836c8688,926,174
488,f562c8cb,504,119
489,e5454d70,458,386
490,f8dda46f,50,345
491,252d99d9,553,73
492,3e9e3630,177,233
493,1261532d,377,327
494,b07bcdad,476,105
495,b2e87bd7,104,122
496,9cc574f1,903,451
497,042a8e19,519,304
498,3d36864f,607,476
499,3eb5683a,765,353
500,eb8ca765,742,184
501,529da501,541,82
502,1d575d73,707,303
503,4a1586c8,439,112
504,ab3227c4,958,496
505,efa04029,805,401
506,0c844a62,689,270
507,d7109784,75,482
508,5038b2de,499,473
509,e174dc5b,553,197
510,ba2206b4,906,61
511,45c8b96b,356,127
512,14777477,100,192
513,a10f48b2,724,104
514,90ffeffb,850,378
515,44d58929,971,204
516,7be3d78e,694,134
517,6cef0fcb,269,311
518,4e2fa585,982,331
519,bb7ac605,911,69
520,a6a095d9,387,463
521,dfd11657,297,496
522,4dbedc12,697,379
523,eab98070,219,360
524,edf4361b,824,144
525,c53e46df,200,70
526,2c59e356,710,328
527,74558fdf,326,167
528,aec27300,806,410
529,e13af144,816,183
530,8044b848,948,423
531,36e29548,568,69
532,caceb653,557,192
533,33ff78e3,35,438
534,a184a21b,321,341
535,b1d8480c,620,75
536,1966a281,187,129
537,dfde73e3,640,132
538,f0b6056a,305,443
539,e14fd84f,334,397
540,8a4c2ca7,169,466
541,3d65414a,393,266
542,8caee851,431,230
543,2b45545f,622,82
544,828a7790,292,431
545,7a3b88a6,243,233
546,483c942c,150,470
547,39c832cf,557,151
548,03b4e684,54,255
549,8b845144,730,382
550,6271c7ec,381,205
551,a3d9479f,728,125
552,465811f5,24,494
553,d155a729,935,244
554,1fd78dfe,261,447
555,29dbc18f,703,359
556,d5e16f3f,178,130
557,7aaaf396,374,284
558,9a6ed9ca,731,165
559,589e759a,894,423
560,82dac7bb,912,66
561,f906d314,837,187
562,d04de96d,797,460
563,7764ec88,501,500
564,1db65be4,724,401
565,35ae1598,954,50
566,558569cd,720,52
567,0f7e7acd,751,261
568,cd0b4d62,848,382
569,14c170e5,770,107
570,f882727e,921,168
571,4fa5ab5b,721,209
572,edc33c81,478,451
573,353fbd31,209,300
574,6e1b80a3,822,472
575,4c81fdda,388,209
576,5838650f,422,227
577,59571d46,430,105
578,9dba6972,471,271
579,aef034d3,661,466
580,e72c6679,264,466
581,79683634,178,409
582,03efae30,379,290
583,f23c5c9c,468,482
584,7ba0155a,922,244
585,8b224459,410,97
586,0b887cfa,817,266
587,8a3673f8,891,114
588,c80414ce,287,432
589,44939773,9,132
590,40b43519,910,478
591,7bfe1fbb,799,245
592,4a2320a3,10,95
593,8264ada6,811,203
594,6e9372b8,53,268
595,fc0ad00d,127,327
596,ab867a92,863,230
597,368034ae,706,258
598,8ef703d6,699,264
599,75aed18d,849,231
600,aa4e88a7,632,487
601,0f94e2c8,108,251
602,9e1264aa,849,344
603,b5fcb1a8,571,153
604,1c1bc1ac,732,346
605,352e3a00,747,128
606,b289689a,117,405
607,ed5273a6,986,295
608,39fd1dbf,850,160
609,83d28298,577,332
610,f8c67f9a,767,57
611,064be327,877,490
612,372dbc84,18,178
613,82b96618,897,91
614,4c140eed,260,446
615,eb4be187,727,347
616,d86db77e,885,181
617,a78867f6,909,200
618,1efb667d,882,323
619,3dd3e4be,169,260
620,8fcef93f,296,324
621,49e9f73e,635,413
622,82cb6139,646,123
623,08eef2b1,192,204
624,a694a89c,404,167
625,2152deca,535,339
626,a2ec335b,447,410
627,e186a618,647,196
628,9ba1ce83,306,361
629,d9dba1bc,928,334
630,3e5c3537,539,300
631,0cdf19c1,345,133
632,702693e4,999,207
633,a7e41d82,198,406
634,3d57498f,102,238
635,9e84431d,472,310
636,e4ca36e7,265,158
637,e5381ccc,211,299
638,bb682f77,321,113
639,11f4483b,18,454
640,a263397e,586,335
641,dd19c7c8,693,248
642,1c7368b2,767,378
643,43132b14,743,120
644,8d21b9ab,846,142
645,a30e15c5,590,366
646,870e9d10,772,55
647,a2c6c716,763,380
648,632c6a80,282,382
649,9cab63f8,609,180
650,5c7dd191,65,352
651,840cc922,769,348
652,2c185f85,759,459
653,ea4f6f0c,169,423
654,3c861aae,694,115
655,2635af24,840,218
656,158397f0,263,123
657,49d04f21,160,470
658,81b39d16,556,491
659,f757ae9c,79,349
660,0446493e,136,143
661,a9d337b1,772,294
662,1463cca6,907,175
663,450e867a,7,266
664,1e6fe3c2,819,441
665,17ffd446,334,327
666,0a55b956,942,447
667,01a7294e,772,169
668,483d12d7,606,363
669,509e3c81,628,291
670,cec7229d,993,408
671,836a6a4c,316,80
672,8debf563,451,484
673,2f743d5a,126,448
674,7acb367f,667,280
675,6ba2c6f7,799,348
676,876af112,392,224
677,fca2d1f9,239,184
678,1bfbb02e,669,60
679,083b9966,247,311
680,dc113a7c,891,64
681,4c7784c1,447,357
682,7c721c67,250,50
683,845fe6af,139,433
684,d129147a,293,400
685,c3f0b22e,460,80
686,8293b303,232,313
687,e2a33c75,188,163
688,d02df704,784,338
689,59756577,796,246
690,bf7f42ef,605,355
691,6efaa7d5,915,130
692,6deb4433,119,371
693,ea4da3d6,823,390
694,559640f7,281,433
695,cb444c62,454,280
696,b3b85eba,860,84
697,1b8d6f3d,520,209
698,a6a3586f,255,418
699,0ab9057d,480,187
700,23501e04,319,380
701,491d4e7c,250,166
702,8dc3103c,405,144
703,f6efc5b0,677,208
704,e3e8e44f,236,334
705,53e8d845,404,246
706,009e03e6,5,234
707,e483fa92,805,368
708,ca0f629b,584,162
709,42c746e7,289,275
710,72503819,7,313
711,048e31d0,315,163
712,f346cfda,73,363
713,848656ed,804,500
714,73ca4413,96,215
715,c99b65d3,938,407
716,d4aa8925,519,298
717,57136124,808,198
718,187bb853,553,433
719,ebadd0a6,378,383
720,97e533fc,706,234
721,c8c65ef3,894,325
722,c908491b,862,146
723,f23f0aca,569,413
724,67dc03d1,102,455
725,a37d53d5,435,340
726,11d37afe,182,251
727,c8bc9f93,383,112
728,33ab423e,536,463
729,8f31661d,917,97
730,55760981,96,423
731,db79c7a3,68,281
732,1b719d40,997,347
733,df94a11b,5,370
734,4810e338,104,124
735,09942f88,246,409
736,8b42ae1f,702,405
737,919d400d,57,84
738,7c465525,435,199
739,e9fb02f4,440,492
740,4d1ff6be,244,110
741,0ab2bb31,246,347
742,136b8f18,133,462
743,fac44f1e,837,328
744,154ca7d6,317,222
745,c6f2ec6e,440,409
746,cc050f94,648,128
747,419d806d,218,346
748,3f3fdbfa,136,348
749,7a0a3fd3,659,232
750,decc56de,176,232
751,584f2f23,12,448
752,8d0d3de8,735,390
753,ef34bbad,758,385
754,d0ce1ac3,73,342
755,8c0f5a37,910,219
756,ee405e57,857,222
757,ff0593bc,227,436
758,13bde0a8,592,433
759,6fe16bfd,849,148
760,13730a45,709,62
761,ad689cd9,951,260
762,c5869a46,875,120
763,ad11f376,427,119
764,f7d0f7d6,545,204
765,2c2f784d,483,76
766,2e7f4ad7,608,427
767,e559f0d9,384,388
768,a461f21f,952,452
769,02220c54,792,199
770,f6f523b6,290,169
771,cdc36a10,898,111
772,054d4fdd,738,200
773,9e4014b3,845,366
774,b9ab8858,311,253
775,4435f89e,729,97
776,0222d3e2,232,449
777,14bf2911,646,307
778,9544ae6d,68,480
779,c24c54f8,826,354
780,5f8ee0e5,516,302
781,6643bd20,35,187
782,ed8a3b65,161,122
783,2978b91d,902,187
784,55071ac0,110,111
785,14d250de,38,152
786,69ca980c,857,178
787,9bea2952,789,244
788,a519274d,289,486
789,dd59da5f,613,362
790,a99dd5cd,938,270
791,45b694ea,512,160
792,85c081aa,762,461
793,c6ce1880,871,402
794,289ae5d3,775,410
795,185da20f,34,292
796,d0f4cdda,782,391
797,6b6752ea,832,141
798,869c0180,765,168
799,00ddb45e,272,144
800,33b4bd4d,850,101
801,0d642e97,972,445
802,11016dab,178,334
803,4d8316a1,435,251
804,278f6c60,794,365
805,99709e44,833,180
806,6f5c5578,492,452
807,53530dbf,547,491
808,3d4512bf,762,388
809,2e4162c3,401,316
810,b37e440e,811,232
811,f3779e3b,363,444
812,71579d1d,968,255
813,c1e10f47,402,313
814,f234d0d2,652,94
815,675e69ed,32,363
816,b508e30a,888,195
817,1a636f45,557,419
818,8b19a66e,861,333
819,af5bec61,725,415
820,059f0fa6,296,117
821,d7f371a7,345,329
822,482dbc07,623,493
823,85572138,41,126
824,69036d23,953,208
825,2bf5383b,274,269
826,ab5a6c98,683,431
827,7f507c0d,364,149
828,a70d73f2,417,67
829,322a2542,746,260
830,31cdcaa8,472,85
831,285541cd,398,221
832,e1a44552,635,356
833,4adfdcb1,545,222
834,8c858784,568,499
835,f2821c3b,618,346
836,daa17f6e,211,452
837,8f8fdf4e,262,375
838,0be475a0,617,105
839,ab348876,453,465
840,c934e93e,497,102
841,5b4cbb11,100,54
842,e91ef830,318,126
843,aec35515,434,385
844,5aee383f,739,189
845,5890effc,240,372
846,ca3fb1ca,96,202
847,f843225d,607,411
848,7639ef42,322,427
849,d2f2615e,455,263
850,46f018ae,23,471
851,4a30f584,656,162
852,e06c5a3d,188,120
853,745280cb,779,291
854,7ed9eb73,499,86
855,b0ab146c,679,379
856,8a0a7927,763,253
857,72a5a5c4,837,369
858,78186b2e,224,359
859,b35a51b2,541,378
860,961eaae0,452,422
861,2012aeab,211,492
862,ffbe3fd5,790,396
863,770006f1,91,167
864,03002cf8,102,151
865,53bb998b,408,114
866,4ba81e6d,865,419
867,7b39b244,294,400
868,1328c633,437,118
869,1e85f26e,863,311
870,0ca1dc00,371,146
871,4eaed19d,775,444
872,d793d2f0,943,123
873,8e582b2a,784,66
874,d324b55a,684,203
875,970c0223,473,398
876,c0641d2d,808,285
877,72a8c348,498,190
878,3c1e2c0a,683,253
879,be8e3da1,664,409
880,40d5777e,6,392
881,e5983fc3,338,500
882,278ca7b1,943,172
883,97bb707a,475,400
884,83180bf3,862,410
885,4bb60720,869,499
886,9c23fc69,781,430
887,e616603d,325,214
888,ecb75c99,177,282
889,ca501b52,678,444
890,1fcc0694,522,184
891,04a1c373,717,57
892,0c0b5453,313,362
893,30810d4c,208,51
894,25b56a73,137,260
895,c10e493d,42,277
896,89981a80,335,403
897,123c6d97,806,332
898,e5532e02,908,165
899,5142c036,161,372
900,b5ccacdf,916,74
901,64246f01,295,407
902,7e526ae1,942,96
903,369adb8e,394,133
904,d58148c4,710,355
905,4f24311c,359,330
906,b316e092,386,354
907,c7ea542f,5,319
908,f25a7db0,628,132
909,1fc4b69a,452,386
910,678191c3,220,394
911,7fc192af,715,222
912,3f74ae21,912,228
913,34eeebbd,168,437
914,1b839699,334,496
915,9686d6b8,43,198
916,5daf8e01,348,179
917,934bf544,149,216
918,862ac214,366,379
919,9f4a8494,493,481
920,9abcd30e,341,396
921,5ad57e26,936,268
922,c3bf2a3b,618,326
923,2def1fd1,541,246
924,dbb9feec,370,123
925,8ee332a8,187,314
926,6903d0ed,646,147
927,cf5ce4a7,968,472
928,2e54af8c,702,228
929,0c2fccbd,752,213
930,4dc80a76,826,65
931,c12d5ab6,238,71
932,9d469739,249,496
933,cc141eac,577,77
934,373ea2f7,461,239
935,67ca409a,262,182
936,63ad93c8,459,137
937,aab473c1,713,217
938,7a5ce2d5,40,75
939,52fe1d5c,914,456
940,2f2d7956,911,191
941,7228e680,123,423
942,602b9b71,668,467
943,a79bb64f,823,459
944,53507b89,162,65
945,89e1ff51,246,211
946,c87dd9e6,708,349
947,7050bc7a,386,331
948,019cab3a,11,401
949,5dca523a,281,90
950,921c32d2,251,337
951,07cbe2ee,53,197
952,77dfe88c,304,385
953,0ea7ed28,881,269
954,cece262d,42,417
955,9d6e5579,415,269
956,ab0dfac0,469,438
957,54c53770,227,380
958,6abfa756,631,435
959,03eb329a,887,299
960,b695b49e,797,231
961,b00cf5ca,198,116
962,0f76e160,967,107
963,1825dba7,276,287
964,847198e5,187,207
965,74b21896,191,348
966,4df4a278,22,207
967,15f4fe9c,893,251
968,7637c9c7,623,228
969,aa04d90c,14,253
970,b53d63f7,631,154
971,35ba09c4,21,430
972,7b1cc571,845,419
973,9a8630e0,648,215
974,17039eb1,507,337
975,5ee6298f,160,132
976,e0dca603,684,372
977,8be1b6ba,979,481
978,075cb46b,330,373
979,f201e20d,69,397
980,0e937f82,831,446
981,f7c5ace7,904,81
982,6d58add8,919,378
983,b077da3d,753,190
984,1f535117,998,284
985,b29b8371,632,102
986,6ed0346c,486,129
987,06ac4164,683,230
988,d75ef303,675,64
989,a63edfba,700,445
990,f3fa7df0,397,360
991,c247786a,423,486
992,6e87c453,995,260
993,4e672dce,100,402
994,5f4c7150,803,451
995,9c508803,88,472
996,2aa3a164,115,170
997,dfdfb736,340,447
998,0a2c8755,343,421
999,3924ef83,612,400
1000,dda9f714,229,434
