ing_id,ing_name,ing_weight,ing_meas,ing_price
200,Barbecue Sauce,293.9,kg,38.8
201,Barbecue Sauce,285.86,kg,96.63
202,Olives,64.73,g,149.54
203,Ham,430.65,kg,88.17
204,Sun-dried Tomatoes,325.2,ml,115.61
205,Cheddar Cheese,474.49,ml,72.53
206,Anchovies,185.55,g,47.58
207,Arugula,90.05,ml,77.98
208,Artichokes,358.98,ml,138.67
209,Parmesan Cheese,111.61,g,35.97
210,Barbecue Sauce,179.34,kg,144.07
211,Garlic,74.6,ml,53.35
212,Basil,103.32,L,198.55
213,Pesto,87.3,kg,173.01
214,Parmesan Cheese,124.5,L,176.65
215,Bacon,108.1,g,73.98
216,Ricotta Cheese,237.8,L,180.73
217,Barbecue Sauce,413.72,g,58.9
218,Feta Cheese,178.1,ml,173.15
219,Ricotta Cheese,386.09,L,135.53
220,Ham,179.41,ml,74.21
221,Sun-dried Tomatoes,396.09,L,113.65
222,Parmesan Cheese,479.6,kg,124.41
223,Mushrooms,387.62,L,74.26
224,Onions,275.15,kg,75.36
225,Onions,394.42,kg,186.88
226,Bell Peppers,366.99,ml,34.78
227,Barbecue Sauce,322.37,ml,85.67
228,Feta Cheese,202.63,kg,188.47
229,Pesto,256.37,ml,180.57
230,Basil,224.44,g,155.52
231,Olives,448.53,ml,115.39
232,Olives,380.42,g,45.29
233,Bacon,170.85,g,100.55
234,Parmesan Cheese,211.17,g,133.17
235,Barbecue Sauce,73.95,g,184.97
236,Barbecue Sauce,470.77,ml,140.52
237,Tomato,141.55,kg,92.86
238,Mozzarella Cheese,110.96,g,67.52
239,Pesto,65.21,ml,53.63
240,Ham,115.24,g,184.91
241,Basil,396.28,g,82.18
242,Chicken,417.42,kg,143.47
243,Pepperoni,95.78,kg,40.25
244,Basil,314.87,kg,173.33
245,Bell Peppers,138.93,g,151.32
246,Sun-dried Tomatoes,119.7,kg,124.48
247,Olives,428.48,kg,129.44
248,Sausage,463.19,L,147.07
249,Arugula,390.69,ml,145.29
250,Basil,462.03,kg,155.37
251,Feta Cheese,275.64,kg,157.39
252,Arugula,334.17,kg,173.56
253,Basil,150.12,ml,55.54
254,Sun-dried Tomatoes,482.63,kg,91.51
255,Mozzarella Cheese,298.37,ml,168.56
256,Spinach,303.2,g,183.43
257,Ricotta Cheese,245.66,g,94.15
258,Feta Cheese,247.39,g,34.28
259,Sausage,480.16,ml,163.0
260,Bell Peppers,56.48,kg,132.97
261,Pineapple,127.57,kg,158.22
262,Bacon,154.16,kg,77.43
263,Pesto,349.9,ml,12.28
264,Chicken,361.89,g,159.21
265,Bacon,273.49,kg,59.11
266,Parmesan Cheese,241.99,ml,59.6
267,Barbecue Sauce,362.57,g,171.02
268,Olives,403.71,L,172.74
269,Cheddar Cheese,498.12,kg,150.5
270,Parmesan Cheese,439.88,L,160.07
271,Chicken,82.18,g,147.12
272,Pesto,178.21,ml,20.28
273,Spinach,296.51,kg,13.94
274,Olives,127.92,g,166.18
275,Artichokes,260.9,L,82.65
276,Parmesan Cheese,110.13,ml,151.33
277,Basil,409.57,L,180.35
278,Pepperoni,150.11,g,61.83
279,Garlic,175.77,kg,135.03
280,Sun-dried Tomatoes,73.23,kg,56.03
281,Arugula,414.66,kg,84.7
282,Barbecue Sauce,221.81,ml,171.88
283,Pesto,439.98,L,114.46
284,Bell Peppers,474.37,kg,128.82
285,Bacon,346.74,g,149.12
286,Bell Peppers,307.89,g,154.96
287,Anchovies,268.99,kg,90.61
288,Mushrooms,67.87,L,191.56
289,Ricotta Cheese,483.65,g,57.48
290,Pepperoni,221.02,L,25.58
291,Parmesan Cheese,56.46,L,132.25
292,Feta Cheese,492.85,L,34.05
293,Olives,82.14,ml,58.38
294,Pesto,395.33,g,97.13
295,Barbecue Sauce,257.29,g,158.87
296,Anchovies,169.79,g,168.55
297,Pesto,382.02,ml,35.08
298,Parmesan Cheese,313.17,g,58.85
299,Olives,456.27,L,142.94
300,Chicken,391.13,g,110.85
301,Bell Peppers,166.33,g,43.39
302,Anchovies,454.64,kg,115.07
303,Bell Peppers,433.43,g,190.47
304,Onions,120.99,L,172.17
305,Bacon,240.21,kg,175.64
306,Bell Peppers,226.64,kg,148.9
307,Cheddar Cheese,277.66,L,142.91
308,Sausage,139.83,ml,184.15
309,Mozzarella Cheese,325.38,ml,188.32
310,Sun-dried Tomatoes,345.84,L,30.93
311,Arugula,417.66,kg,167.53
312,Mushrooms,56.56,L,108.15
313,Mozzarella Cheese,80.63,ml,188.55
314,Tomato,393.21,g,48.28
315,Mozzarella Cheese,290.13,ml,193.64
316,Barbecue Sauce,443.26,g,64.28
317,Anchovies,244.08,g,58.26
318,Feta Cheese,295.56,ml,17.32
319,Arugula,223.21,ml,67.92
320,Sausage,111.6,L,105.66
321,Tomato,99.85,kg,36.45
322,Bacon,220.13,g,171.35
323,Ham,259.74,ml,170.24
324,Cheddar Cheese,285.4,g,95.12
325,Bell Peppers,130.42,kg,106.78
326,Ricotta Cheese,154.94,ml,82.17
327,Bell Peppers,71.13,L,190.03
328,Anchovies,450.12,ml,69.33
329,Spinach,385.32,g,153.56
330,Pineapple,189.0,g,99.2
331,Parmesan Cheese,229.94,ml,167.85
332,Garlic,434.03,g,165.81
333,Mushrooms,214.19,L,34.13
334,Cheddar Cheese,440.46,ml,85.86
335,Basil,194.25,ml,40.73
336,Sun-dried Tomatoes,208.55,L,38.36
337,Cheddar Cheese,285.42,L,138.75
338,Artichokes,287.55,g,24.41
339,Bell Peppers,283.7,g,62.13
340,Chicken,390.28,ml,110.38
341,Arugula,191.37,L,67.1
342,Tomato,87.61,L,70.35
343,Bell Peppers,377.96,kg,145.19
344,Basil,329.05,kg,41.51
345,Ricotta Cheese,135.43,L,63.16
346,Mozzarella Cheese,232.44,g,31.13
347,Pepperoni,246.09,kg,17.15
348,Tomato,119.3,kg,48.36
349,Pesto,226.42,L,176.24
350,Anchovies,254.19,kg,15.79
351,Bell Peppers,474.95,ml,162.51
352,Cheddar Cheese,333.13,ml,158.08
353,Chicken,240.22,g,160.02
354,Arugula,389.69,L,143.24
355,Barbecue Sauce,264.68,g,123.39
356,Pineapple,179.31,L,140.06
357,Pesto,346.17,kg,36.99
358,Tomato,463.72,g,44.42
359,Barbecue Sauce,164.09,g,190.29
360,Artichokes,334.66,kg,37.67
361,Ham,223.47,kg,86.41
362,Onions,336.52,kg,92.74
363,Garlic,174.18,ml,112.17
364,Garlic,144.43,kg,32.43
365,Bell Peppers,73.37,ml,100.54
366,Parmesan Cheese,315.61,L,120.6
367,Artichokes,117.59,ml,42.92
368,Anchovies,297.41,kg,113.43
369,Sausage,478.14,L,36.23
370,Parmesan Cheese,294.26,g,188.69
371,Basil,97.02,ml,129.69
372,Sun-dried Tomatoes,361.44,ml,25.8
373,Sausage,110.91,g,149.94
374,Tomato,202.98,kg,24.41
375,Olives,442.26,ml,179.04
376,Olives,462.16,ml,19.41
377,Barbecue Sauce,276.17,g,154.7
378,Bacon,458.02,ml,118.4
379,Pepperoni,413.92,L,171.69
380,Ricotta Cheese,253.92,g,196.27
381,Olives,488.84,L,59.17
382,Artichokes,432.89,L,23.61
383,Onions,242.39,kg,144.63
384,Ricotta Cheese,466.47,L,67.6
385,Pineapple,261.7,L,67.29
386,Olives,295.57,L,109.72
387,Pineapple,293.68,L,63.39
388,Anchovies,218.25,kg,38.82
389,Mushrooms,406.85,ml,165.67
390,Spinach,126.66,L,108.18
391,Tomato,60.65,kg,96.64
392,Anchovies,148.96,g,180.97
393,Anchovies,150.56,L,50.89
394,Mushrooms,450.79,g,101.34
395,Tomato,132.1,L,38.29
396,Anchovies,380.21,g,54.59
397,Ham,84.15,L,172.32
398,Garlic,305.56,ml,140.0
399,Tomato,98.16,g,147.79
400,Olives,359.55,g,194.72
401,Garlic,153.19,L,43.31
402,Barbecue Sauce,92.91,ml,23.58
403,Olives,277.44,g,141.56
404,Spinach,233.53,ml,175.42
405,Cheddar Cheese,364.31,kg,50.07
406,Cheddar Cheese,145.32,kg,193.73
407,Sausage,484.69,kg,178.17
408,Cheddar Cheese,211.24,ml,198.19
409,Sausage,117.5,ml,167.61
410,Mozzarella Cheese,290.18,g,198.29
411,Ham,105.29,L,89.65
412,Barbecue Sauce,399.06,g,68.45
413,Pesto,305.55,kg,155.34
414,Tomato,275.49,ml,185.92
415,Pepperoni,96.24,L,43.97
416,Sausage,276.28,L,129.23
417,Parmesan Cheese,333.29,g,78.94
418,Garlic,292.81,kg,197.09
419,Garlic,237.22,g,41.46
420,Pineapple,236.04,g,122.11
421,Pesto,212.62,ml,123.14
422,Ricotta Cheese,154.08,ml,190.2
423,Bell Peppers,173.59,ml,155.45
424,Feta Cheese,237.72,g,79.96
425,Cheddar Cheese,195.87,L,115.78
426,Feta Cheese,333.31,L,161.98
427,Sun-dried Tomatoes,382.12,ml,102.37
428,Basil,182.51,kg,67.08
429,Artichokes,476.58,ml,103.04
430,Anchovies,155.48,kg,170.34
431,Ricotta Cheese,62.38,ml,80.06
432,Onions,149.37,L,37.02
433,Garlic,136.24,kg,100.69
434,Tomato,315.72,g,51.42
435,Artichokes,111.0,ml,150.09
436,Sausage,418.15,L,68.19
437,Sausage,485.45,L,143.74
438,Pepperoni,229.7,ml,184.51
439,Basil,372.17,g,84.75
440,Artichokes,349.96,kg,123.86
441,Artichokes,293.28,L,99.14
442,Tomato,144.61,L,76.28
443,Mozzarella Cheese,388.52,kg,141.45
444,Arugula,187.87,g,13.51
445,Ham,261.99,L,85.56
446,Parmesan Cheese,498.44,ml,82.72
447,Tomato,208.39,L,58.89
448,Pesto,98.33,g,57.68
449,Ham,333.89,kg,105.68
450,Cheddar Cheese,355.66,g,188.1
451,Sun-dried Tomatoes,309.82,L,174.66
452,Sausage,51.14,L,71.07
453,Barbecue Sauce,162.64,g,50.63
454,Bacon,355.19,kg,132.38
455,Pesto,319.39,L,85.41
456,Ham,140.72,g,126.0
457,Artichokes,274.57,ml,73.78
458,Pineapple,117.91,ml,98.38
459,Parmesan Cheese,279.83,kg,80.1
460,Chicken,251.54,kg,108.51
461,Ricotta Cheese,235.13,g,185.97
462,Bell Peppers,253.28,ml,135.45
463,Ricotta Cheese,185.03,g,129.14
464,Sausage,319.6,L,102.89
465,Feta Cheese,259.06,kg,80.39
466,Onions,106.93,L,165.56
467,Pesto,345.26,L,70.07
468,Parmesan Cheese,274.77,kg,74.21
469,Garlic,174.13,g,199.15
470,Ham,220.32,L,84.43
471,Pineapple,226.67,L,59.34
472,Pepperoni,444.89,L,34.27
473,Ham,166.23,L,83.66
474,Ricotta Cheese,337.01,g,92.16
475,Garlic,449.52,g,16.27
476,Sun-dried Tomatoes,383.68,L,72.39
477,Onions,410.4,L,126.4
478,Ham,491.9,L,106.05
479,Mozzarella Cheese,182.49,kg,157.66
480,Garlic,271.92,L,199.85
481,Ricotta Cheese,258.73,ml,24.56
482,Pepperoni,349.77,g,107.6
483,Bacon,410.5,L,64.0
484,Pineapple,346.74,kg,159.52
485,Bacon,133.29,L,74.48
486,Olives,236.45,g,91.78
487,Garlic,175.67,ml,51.15
488,Artichokes,415.78,g,60.23
489,Parmesan Cheese,272.93,ml,137.72
490,Mushrooms,164.87,L,51.99
491,Arugula,394.56,kg,149.94
492,Pesto,259.92,L,121.3
493,Olives,107.74,L,71.35
494,Parmesan Cheese,300.71,ml,33.84
495,Ricotta Cheese,61.5,L,35.28
496,Bacon,70.72,L,133.04
497,Feta Cheese,232.33,L,41.6
498,Sun-dried Tomatoes,360.89,kg,96.79
499,Pepperoni,389.6,g,20.67
500,Anchovies,192.31,ml,191.83
501,Ham,114.68,kg,95.65
502,Mushrooms,293.48,g,197.48
503,Mushrooms,101.43,L,63.73
504,Parmesan Cheese,188.91,L,99.43
505,Basil,68.21,ml,52.24
506,Mozzarella Cheese,199.52,L,180.22
507,Cheddar Cheese,489.65,ml,36.8
508,Basil,270.52,ml,141.91
509,Pepperoni,106.68,ml,175.93
510,Spinach,324.43,g,31.84
511,Cheddar Cheese,310.98,ml,53.18
512,Barbecue Sauce,202.6,ml,19.02
513,Sun-dried Tomatoes,157.47,g,50.46
514,Bacon,210.66,ml,55.05
515,Mushrooms,492.39,g,36.29
516,Tomato,293.56,kg,122.61
517,Ricotta Cheese,211.37,g,18.64
518,Barbecue Sauce,448.14,L,117.61
519,Ham,136.71,kg,137.57
520,Feta Cheese,143.57,kg,79.92
521,Pineapple,231.42,L,179.91
522,Pepperoni,64.54,ml,32.53
523,Onions,473.87,ml,42.96
524,Barbecue Sauce,251.92,kg,36.75
525,Pineapple,268.79,kg,48.69
526,Sun-dried Tomatoes,391.14,ml,142.93
527,Bell Peppers,78.7,g,105.16
528,Pesto,241.07,kg,169.97
529,Bacon,322.4,L,64.75
530,Onions,302.42,L,174.48
531,Bacon,385.0,kg,91.11
532,Sun-dried Tomatoes,188.06,ml,165.89
533,Garlic,488.09,kg,82.2
534,Olives,325.64,ml,45.5
535,Sausage,481.07,L,71.77
536,Pineapple,455.22,L,176.48
537,Pineapple,415.14,ml,139.01
538,Sausage,274.6,g,111.31
539,Bacon,201.1,g,52.36
540,Pineapple,286.64,kg,175.31
541,Olives,67.98,g,102.24
542,Chicken,393.05,ml,139.01
543,Artichokes,220.51,g,186.81
544,Onions,367.64,g,148.63
545,Sausage,57.43,kg,70.47
546,Mozzarella Cheese,328.21,kg,101.77
547,Pineapple,56.14,L,22.93
548,Garlic,195.36,g,132.41
549,Onions,299.26,g,39.07
550,Bell Peppers,317.2,g,196.91
551,Barbecue Sauce,314.8,kg,83.76
552,Ricotta Cheese,418.93,ml,195.73
553,Garlic,339.26,g,94.07
554,Arugula,340.17,L,164.06
555,Pineapple,483.1,kg,180.72
556,Sun-dried Tomatoes,375.49,L,134.58
557,Artichokes,469.97,kg,90.61
558,Bell Peppers,355.98,ml,68.39
559,Ham,50.66,L,137.19
560,Mozzarella Cheese,337.13,L,45.65
561,Spinach,212.31,g,123.46
562,Onions,285.84,L,82.9
563,Bell Peppers,246.27,L,63.43
564,Anchovies,128.4,L,130.49
565,Sausage,281.2,ml,174.22
566,Sun-dried Tomatoes,390.93,g,12.55
567,Sun-dried Tomatoes,460.67,ml,42.13
568,Pineapple,358.98,ml,118.87
569,Parmesan Cheese,249.91,ml,176.13
570,Pesto,391.12,g,76.97
571,Onions,256.65,ml,108.83
572,Tomato,380.31,L,119.0
573,Mushrooms,490.64,kg,55.83
574,Chicken,52.09,kg,125.71
575,Garlic,249.95,kg,65.35
576,Parmesan Cheese,188.9,g,161.6
577,Bacon,130.99,ml,127.04
578,Arugula,295.13,ml,65.08
579,Olives,387.53,ml,82.17
580,Ham,160.58,g,73.79
581,Feta Cheese,424.3,g,145.28
582,Arugula,346.39,g,106.93
583,Sun-dried Tomatoes,185.09,g,36.04
584,Mozzarella Cheese,494.92,g,134.3
585,Mushrooms,69.57,ml,74.2
586,Basil,279.25,kg,19.25
587,Sausage,330.2,g,28.19
588,Basil,120.66,kg,172.75
589,Ham,58.91,kg,58.25
590,Anchovies,475.43,L,31.66
591,Cheddar Cheese,205.1,ml,86.3
592,Feta Cheese,79.83,L,196.13
593,Mushrooms,170.31,ml,24.74
594,Mozzarella Cheese,413.96,L,12.16
595,Ricotta Cheese,222.51,L,129.49
596,Arugula,225.98,kg,160.13
597,Ham,93.02,L,64.61
598,Artichokes,343.81,kg,185.01
599,Parmesan Cheese,415.57,ml,93.08
600,Parmesan Cheese,90.54,L,110.25
601,Ham,432.15,kg,181.2
602,Onions,394.31,kg,46.0
603,Parmesan Cheese,248.58,g,113.11
604,Bell Peppers,165.65,L,37.42
605,Ham,73.14,g,26.59
606,Ham,313.11,g,24.35
607,Basil,461.83,kg,94.93
608,Parmesan Cheese,158.08,L,77.63
609,Tomato,283.85,kg,74.36
610,Artichokes,316.79,ml,172.29
611,Basil,470.87,g,72.94
612,Tomato,243.19,ml,101.84
613,Ricotta Cheese,337.39,kg,165.06
614,Sun-dried Tomatoes,258.44,ml,181.89
615,Feta Cheese,353.88,ml,28.55
616,Ham,192.82,L,179.46
617,Cheddar Cheese,76.76,ml,158.96
618,Mushrooms,64.73,g,35.6
619,Ricotta Cheese,150.39,ml,54.65
620,Cheddar Cheese,415.1,L,80.36
621,Tomato,76.85,L,111.67
622,Chicken,324.29,L,120.25
623,Tomato,255.19,g,65.15
624,Pineapple,400.32,g,65.68
625,Olives,56.5,ml,85.47
626,Arugula,445.42,L,117.76
627,Pineapple,118.01,L,106.44
628,Artichokes,337.15,L,149.95
629,Tomato,136.46,kg,34.94
630,Mushrooms,224.43,g,22.07
631,Ricotta Cheese,201.0,g,30.0
632,Tomato,207.25,L,141.19
633,Mushrooms,279.74,kg,46.86
634,Pesto,249.36,L,148.42
635,Ham,496.6,L,26.71
636,Sun-dried Tomatoes,253.76,kg,197.29
637,Barbecue Sauce,325.28,L,39.99
638,Ham,77.21,g,80.45
639,Mushrooms,357.88,g,80.02
640,Spinach,440.03,ml,105.17
641,Ricotta Cheese,213.82,ml,16.14
642,Pineapple,267.5,L,190.79
643,Sun-dried Tomatoes,363.8,ml,144.68
644,Garlic,317.75,ml,111.74
645,Cheddar Cheese,88.17,g,41.57
646,Feta Cheese,252.02,L,43.85
647,Feta Cheese,199.2,ml,186.27
648,Sausage,149.86,ml,34.54
649,Artichokes,488.22,g,149.64
650,Olives,158.72,ml,155.2
651,Pepperoni,214.76,kg,171.15
652,Arugula,60.7,L,56.14
653,Barbecue Sauce,446.25,g,39.3
654,Olives,106.77,L,71.25
655,Pineapple,280.64,kg,187.04
656,Pesto,87.26,L,93.8
657,Mushrooms,85.49,kg,197.04
658,Garlic,466.91,g,48.51
659,Parmesan Cheese,308.48,ml,94.05
660,Arugula,361.66,L,90.73
661,Parmesan Cheese,379.69,ml,65.62
662,Barbecue Sauce,120.03,kg,195.57
663,Garlic,448.08,L,105.81
664,Pepperoni,115.24,L,140.43
665,Feta Cheese,60.64,g,84.63
666,Spinach,53.12,ml,171.71
667,Pesto,232.15,g,104.45
668,Barbecue Sauce,497.69,kg,55.3
669,Olives,439.08,ml,63.74
670,Sun-dried Tomatoes,121.34,kg,119.17
671,Barbecue Sauce,99.23,kg,138.96
672,Bacon,121.03,ml,27.4
673,Sun-dried Tomatoes,128.09,kg,61.49
674,Tomato,320.97,g,22.79
675,Sun-dried Tomatoes,104.95,g,106.07
676,Garlic,455.23,g,93.54
677,Sausage,290.08,kg,27.74
678,Ham,390.6,ml,143.44
679,Artichokes,262.4,g,172.06
680,Garlic,327.05,kg,39.85
681,Artichokes,317.54,ml,106.57
682,Anchovies,410.57,kg,116.79
683,Onions,340.92,kg,198.97
684,Mushrooms,294.59,kg,46.09
685,Bacon,133.61,L,11.35
686,Pineapple,227.89,ml,194.25
687,Parmesan Cheese,457.13,ml,198.03
688,Garlic,115.19,g,103.97
689,Ricotta Cheese,412.14,g,182.8
690,Pepperoni,239.11,kg,122.97
691,Pesto,190.39,g,176.41
692,Mozzarella Cheese,483.27,ml,199.7
693,Sausage,243.37,g,141.93
694,Mozzarella Cheese,107.12,ml,67.48
695,Arugula,228.27,kg,188.53
696,Basil,375.3,kg,43.86
697,Sausage,481.65,ml,197.57
698,Ricotta Cheese,333.18,g,148.45
699,Arugula,357.55,L,136.21
700,Barbecue Sauce,203.25,g,98.88
701,Garlic,191.19,L,79.04
702,Chicken,422.86,kg,134.43
703,Pesto,270.75,ml,101.52
704,Barbecue Sauce,262.37,kg,164.03
705,Sausage,188.1,kg,197.91
706,Pesto,134.75,ml,72.26
707,Ricotta Cheese,434.59,L,158.8
708,Anchovies,270.04,L,164.27
709,Olives,92.17,kg,69.79
710,Olives,119.69,L,43.44
711,Tomato,249.77,kg,48.98
712,Basil,279.15,ml,40.93
713,Spinach,380.65,L,188.91
714,Mozzarella Cheese,55.0,ml,148.7
715,Mozzarella Cheese,357.24,ml,107.64
716,Barbecue Sauce,483.59,ml,91.63
717,Onions,63.39,kg,153.74
718,Basil,491.82,g,92.93
719,Bacon,51.47,kg,63.04
720,Basil,457.37,g,78.05
